source_node,relation,target_node,type
江北区,变更设立,两江新区,dynamic
错那县设立县级错那市撤销错那县,变更设立,县级错那市,dynamic
错那县,变更设立,县级错那市,dynamic
米林县,变更设立,县级米林市,dynamic
"米林县,",变更设立,县级米林市,dynamic
凤翔县,变更设立,宝鸡市凤翔区,dynamic
沙湾县,变更设立,县级沙湾市,dynamic
会理县,变更设立,县级会理市,dynamic
禄丰县,变更设立,县级禄丰市,dynamic
横县,变更设立,县级横州市,dynamic
县级龙海市,变更设立,漳州市龙海区,dynamic
长泰县,变更设立,漳州市长泰区,dynamic
三明市梅列区,变更设立,新的三明市三元区,dynamic
沙县,变更设立,三明市沙县区,dynamic
旬阳县,变更设立,县级旬阳市,dynamic
祁阳县,变更设立,县级祁阳市,dynamic
黔西县,变更设立,县级黔西市,dynamic
县级偃师市,变更设立,洛阳市偃师区,dynamic
孟津县,变更设立,洛阳市孟津区,dynamic
杭州市上城区,变更设立,新的杭州市上城区,dynamic
杭州市下城区,变更设立,新的杭州市拱墅区,dynamic
杭州市余杭区,变更设立,新的杭州市余杭区,dynamic
邢台县,变更设立,邢台市任泽区,dynamic
任县,变更设立,邢台市任泽区,dynamic
南和县,变更设立,邢台市南和区,dynamic
崇川区,变更设立,新的南通市崇川区,dynamic
海门市,变更设立,南通市海门区,dynamic
芜湖市三山区,变更设立,新的芜湖市弋江区,dynamic
芜湖县,变更设立,芜湖市湾沚区,dynamic
繁昌县,变更设立,芜湖市繁昌区,dynamic
蓬莱市,变更设立,烟台市蓬莱区,dynamic
新津县,变更设立,成都市新津区,dynamic
水城县,变更设立,六盘水市水城区,dynamic
龙南县,变更设立,县级龙南市,dynamic
同仁县,变更设立,县级同仁市,dynamic
监利县,变更设立,县级监利市,dynamic
上饶县,变更设立,上饶市广信区,dynamic
茌平县,变更设立,聊城市茌平区,dynamic
淮阳县,变更设立,周口市淮阳区,dynamic
田阳县,变更设立,百色市田阳区,dynamic
伊春市乌伊岭区,变更设立,汤旺县,dynamic
伊春市新青区,变更设立,丰林县,dynamic
伊春市带岭区,变更设立,大箐山县,dynamic
伊春市南岔区,变更设立,南岔县,dynamic
伊春市乌马河区,变更设立,伊春市伊美区,dynamic
伊春市翠峦区,变更设立,伊春市乌翠区,dynamic
伊春市友好区,变更设立,新的伊春市友好区,dynamic
伊春市西林区,变更设立,伊春市金林区,dynamic
广德县,变更设立,县级广德市,dynamic
邵东县,变更设立,县级邵东市,dynamic
射洪县,变更设立,县级射洪市,dynamic
子长县,变更设立,县级子长市,dynamic
长垣县,变更设立,县级长垣市,dynamic
嫩江县,变更设立,县级嫩江市,dynamic
苍南县龙港镇,变更设立,县级龙港市,dynamic
太谷县,变更设立,晋中市太谷区,dynamic
南昌市湾里区,变更设立,南昌市红谷滩区,dynamic
湟中县,变更设立,西宁市湟中区,dynamic
平果县,变更设立,县级平果市,dynamic
库车县,变更设立,县级库车市,dynamic
澄江县,变更设立,县级澄江市,dynamic
无为县,变更设立,县级无为市,dynamic
大同市城区,变更设立,大同市平城区,dynamic
大同县,变更设立,大同市云州区,dynamic
余江县,变更设立,鹰潭市余江区,dynamic
马龙县,变更设立,曲靖市马龙区,dynamic
怀仁县,变更设立,县级怀仁市,dynamic
彬县,变更设立,县级彬州市,dynamic
茫崖行政委员会和冷湖行政委员会,变更设立,县级茫崖市,dynamic
海安县,变更设立,县级海安市,dynamic
漠河县,变更设立,县级漠河市,dynamic
京山县,变更设立,县级京山市,dynamic
济阳县,变更设立,济南市济阳区,dynamic
城区,变更设立,长治市潞州区,dynamic
长治县,变更设立,长治市上党区,dynamic
屯留县,变更设立,长治市屯留区,dynamic
潞城市,变更设立,长治市潞城区,dynamic
株洲县,变更设立,株洲市渌口区,dynamic
宜宾县,变更设立,宜宾市叙州区,dynamic
滦县,变更设立,县级滦州市,dynamic
潜山县,变更设立,县级潜山市,dynamic
邹平县,变更设立,县级邹平市,dynamic
荔浦县,变更设立,县级荔浦市,dynamic
兴仁县,变更设立,县级兴仁市,dynamic
水富县,变更设立,县级水富市,dynamic
华亭县,变更设立,县级华亭市,dynamic
地级莱芜市,变更设立,济南市莱芜区,dynamic
平泉县设立县级平泉市撤销平泉县,变更设立,县级平泉市,dynamic
平泉县,变更设立,县级平泉市,dynamic
玉环县,变更设立,县级玉环市,dynamic
神木县,变更设立,县级神木市,dynamic
隆昌县,变更设立,县级隆昌市,dynamic
宁乡县,变更设立,县级宁乡市,dynamic
盘县,变更设立,县级盘州市,dynamic
县级临安市,变更设立,杭州市临安区,dynamic
县级长乐市,变更设立,福州市长乐区,dynamic
九江县,变更设立,九江市柴桑区,dynamic
县级即墨市,变更设立,青岛市即墨区,dynamic
罗江县,变更设立,德阳市罗江区,dynamic
达孜县,变更设立,拉萨市达孜区,dynamic
南郑县,变更设立,汉中市南郑区,dynamic
那曲地区,变更设立,地级那曲市,dynamic
那曲地区和那曲县,变更设立,地级那曲市,dynamic
张家口市宣化区和宣化县,变更设立,新的张家口市宣化区,dynamic
万全县,变更设立,张家口市万全区,dynamic
崇礼县,变更设立,张家口市崇礼区,dynamic
辽中县,变更设立,沈阳市辽中区,dynamic
定陶县,变更设立,菏泽市定陶区,dynamic
山南地区,变更设立,地级山南市,dynamic
山南地区和乃东县,变更设立,地级山南市,dynamic
哈密地区,变更设立,地级哈密市,dynamic
哈密地区和县级哈密市,变更设立,地级哈密市,dynamic
抚远县,变更设立,县级抚远市,dynamic
大洼县,变更设立,盘锦市大洼区,dynamic
沾益县,变更设立,曲靖市沾益区,dynamic
柳江县,变更设立,柳州市柳江区,dynamic
遵义县,变更设立,遵义市播州区,dynamic
安县,变更设立,绵阳市安州区,dynamic
星子县,变更设立,县级庐山市,dynamic
崇明县,变更设立,上海市崇明区,dynamic
蓟县,变更设立,天津市蓟州区,dynamic
开县,变更设立,重庆市开州区,dynamic
淮安市清河区,变更设立,淮安市清江浦区,dynamic
洪泽县,变更设立,淮安市洪泽区,dynamic
县级冀州市,变更设立,衡水市冀州区,dynamic
安塞县,变更设立,延安市安塞区,dynamic
垦利县,变更设立,东营市垦利区,dynamic
泸水县,变更设立,县级泸水市,dynamic
县级章丘市,变更设立,济南市章丘区,dynamic
赣县,变更设立,赣州市赣县区,dynamic
肥乡县,变更设立,邯郸市肥乡区,dynamic
永年县,变更设立,邯郸市永年区,dynamic
县级奉化市,变更设立,宁波市奉化区,dynamic
梁平县,变更设立,重庆市梁平区,dynamic
武隆县,变更设立,重庆市武隆区,dynamic
郫县,变更设立,成都市郫都区,dynamic
晋宁县,变更设立,昆明市晋宁区,dynamic
户县,变更设立,西安市鄠邑区,dynamic
许昌县,变更设立,许昌市建安区,dynamic
宜州市,变更设立,河池市宜州区,dynamic
东乡县,变更设立,抚州市东乡区,dynamic
武鸣县,变更设立,南宁市武鸣区,dynamic
广丰县,变更设立,上饶市广丰区,dynamic
平安县,变更设立,海东市平安区,dynamic
陕县,变更设立,三门峡市陕州区,dynamic
康定县,变更设立,县级康定市,dynamic
县级儋州市,变更设立,地级儋州市,dynamic
林芝地区,变更设立,地级林芝市,dynamic
林芝地区和林芝县,变更设立,地级林芝市,dynamic
吐鲁番地区,变更设立,地级吐鲁番市,dynamic
吐鲁番地区和县级吐鲁番市,变更设立,地级吐鲁番市,dynamic
保定市北市区,变更设立,保定市莲池区,dynamic
满城县,变更设立,保定市满城区,dynamic
清苑县,变更设立,保定市清苑区,dynamic
徐水县,变更设立,保定市徐水区,dynamic
潼南县,变更设立,重庆市潼南区,dynamic
荣昌县,变更设立,重庆市荣昌区,dynamic
常州市武进区和戚墅堰区,变更设立,新的武进区,dynamic
县级金坛市,变更设立,常州市金坛区,dynamic
高要市,变更设立,肇庆市高要区,dynamic
宁河县,变更设立,天津市宁河区,dynamic
静海县,变更设立,天津市静海区,dynamic
县级大丰市,变更设立,盐城市大丰区,dynamic
抚宁县,变更设立,秦皇岛市抚宁区,dynamic
洞头县,变更设立,温州市洞头区,dynamic
新建县,变更设立,南昌市新建区,dynamic
靖西县,变更设立,县级靖西市,dynamic
腾冲县,变更设立,县级腾冲市,dynamic
铜陵市铜官山区,变更设立,铜陵市铜官区,dynamic
密云县,变更设立,北京市密云区,dynamic
延庆县,变更设立,北京市延庆区,dynamic
上海市闸北区,变更设立,新的上海市静安区,dynamic
无锡市崇安区,变更设立,无锡市梁溪区,dynamic
堆龙德庆县,变更设立,拉萨市堆龙德庆区,dynamic
华县,变更设立,渭南市华州区,dynamic
县级普兰店市,变更设立,大连市普兰店区,dynamic
马尔康县,变更设立,县级马尔康市,dynamic
铜陵县,变更设立,铜陵市义安区,dynamic
双流县,变更设立,成都市双流区,dynamic
江川县,变更设立,玉溪市江川区,dynamic
横山县,变更设立,榆林市横山区,dynamic
东宁县,变更设立,县级东宁市,dynamic
广州市黄埔区,变更设立,新的广州市黄埔区,dynamic
县级从化市,变更设立,广州市从化区,dynamic
县级增城市,变更设立,广州市增城区,dynamic
茂名市茂港区和电白县,变更设立,茂名市电白区,dynamic
县级文登市,变更设立,威海市文登区,dynamic
