source_node,relation,target_node,type
凤翔区,隶属于,宝鸡市,static
市龙海区,隶属于,漳州,static
市长泰区,隶属于,漳州,static
三元区,隶属于,新的三明市,static
沙县区,隶属于,三明市,static
偃师区,隶属于,洛阳市,static
孟津区,隶属于,洛阳市,static
市上城区,隶属于,新的杭州,static
市拱墅区,隶属于,新的杭州,static
市余杭区,隶属于,新的杭州,static
任泽区,隶属于,邢台市,static
南和区,隶属于,邢台市,static
崇川区,隶属于,新的南通市,static
海门区,隶属于,南通市,static
弋江区,隶属于,新的芜湖市,static
湾沚区,隶属于,芜湖市,static
繁昌区,隶属于,芜湖市,static
蓬莱区,隶属于,烟台市,static
新津区,隶属于,成都市,static
水城区,隶属于,六盘水市,static
广信区,隶属于,上饶市,static
茌平区,隶属于,聊城市,static
淮阳区,隶属于,周口市,static
田阳区,隶属于,百色市,static
伊美区,隶属于,伊春市,static
乌翠区,隶属于,伊春市,static
友好区,隶属于,新的伊春市,static
金林区,隶属于,伊春市,static
太谷区,隶属于,晋中市,static
红谷滩区,隶属于,南昌市,static
湟中区,隶属于,西宁市,static
平城区,隶属于,大同市,static
云州区,隶属于,大同市,static
余江区,隶属于,鹰潭市,static
马龙区,隶属于,曲靖市,static
济阳区,隶属于,济南市,static
市潞州区,隶属于,长治,static
市上党区,隶属于,长治,static
市屯留区,隶属于,长治,static
市潞城区,隶属于,长治,static
渌口区,隶属于,株洲市,static
叙州区,隶属于,宜宾市,static
莱芜区,隶属于,济南市,static
市临安区,隶属于,杭州,static
市长乐区,隶属于,福州,static
柴桑区,隶属于,九江市,static
即墨区,隶属于,青岛市,static
罗江区,隶属于,德阳市,static
达孜区,隶属于,拉萨市,static
南郑区,隶属于,汉中市,static
宣化区,隶属于,新的张家口市,static
万全区,隶属于,张家口市,static
崇礼区,隶属于,张家口市,static
辽中区,隶属于,沈阳市,static
定陶区,隶属于,菏泽市,static
大洼区,隶属于,盘锦市,static
沾益区,隶属于,曲靖市,static
市柳江区,隶属于,柳州,static
播州区,隶属于,遵义市,static
安州区,隶属于,绵阳市,static
崇明区,隶属于,上海市,static
蓟州区,隶属于,天津市,static
开州区,隶属于,重庆市,static
清江浦区,隶属于,淮安市,static
洪泽区,隶属于,淮安市,static
冀州区,隶属于,衡水市,static
安塞区,隶属于,延安市,static
垦利区,隶属于,东营市,static
章丘区,隶属于,济南市,static
市赣县区,隶属于,赣州,static
肥乡区,隶属于,邯郸市,static
永年区,隶属于,邯郸市,static
奉化区,隶属于,宁波市,static
梁平区,隶属于,重庆市,static
武隆区,隶属于,重庆市,static
郫都区,隶属于,成都市,static
晋宁区,隶属于,昆明市,static
鄠邑区,隶属于,西安市,static
建安区,隶属于,许昌市,static
宜州区,隶属于,河池市,static
市东乡区,隶属于,抚州,static
武鸣区,隶属于,南宁市,static
广丰区,隶属于,上饶市,static
平安区,隶属于,海东市,static
陕州区,隶属于,三门峡市,static
莲池区,隶属于,保定市,static
满城区,隶属于,保定市,static
清苑区,隶属于,保定市,static
徐水区,隶属于,保定市,static
潼南区,隶属于,重庆市,static
荣昌区,隶属于,重庆市,static
市金坛区,隶属于,常州,static
高要区,隶属于,肇庆市,static
宁河区,隶属于,天津市,static
静海区,隶属于,天津市,static
大丰区,隶属于,盐城市,static
抚宁区,隶属于,秦皇岛市,static
市洞头区,隶属于,温州,static
新建区,隶属于,南昌市,static
铜官区,隶属于,铜陵市,static
密云区,隶属于,北京市,static
延庆区,隶属于,北京市,static
静安区,隶属于,新的上海市,static
梁溪区,隶属于,无锡市,static
堆龙德庆区,隶属于,拉萨市,static
华州区,隶属于,渭南市,static
普兰店区,隶属于,大连市,static
义安区,隶属于,铜陵市,static
双流区,隶属于,成都市,static
江川区,隶属于,玉溪市,static
横山区,隶属于,榆林市,static
市黄埔区,隶属于,新的广州,static
市从化区,隶属于,广州,static
市增城区,隶属于,广州,static
电白区,隶属于,茂名市,static
文登区,隶属于,威海市,static
海棠区,隶属于,三亚市,static
吉阳区,隶属于,三亚市,static
天涯区,隶属于,三亚市,static
崖州区,隶属于,三亚市,static
双城区,隶属于,哈尔滨市,static
海州区,隶属于,新的连云港市,static
赣榆区,隶属于,连云港市,static
建阳区,隶属于,南平市,static
璧山区,隶属于,重庆市,static
铜梁区,隶属于,重庆市,static
郧阳区,隶属于,十堰市,static
市沾化区,隶属于,滨州,static
云安区,隶属于,云浮市,static
龙亭区,隶属于,新的开封市,static
祥符区,隶属于,开封市,static
藁城区,隶属于,石家庄市,static
鹿泉区,隶属于,石家庄市,static
栾城区,隶属于,石家庄市,static
市陵城区,隶属于,德州,static
彭山区,隶属于,眉山市,static
阳东区,隶属于,阳江市,static
九台区,隶属于,长春市,static
市富阳区,隶属于,杭州,static
高陵区,隶属于,西安市,static
永定区,隶属于,龙岩市,static
平坝区,隶属于,安顺市,static
临桂区,隶属于,桂林市,static
秦淮区,隶属于,新的南京市,static
鼓楼区,隶属于,新的南京市,static
溧水区,隶属于,南京市,static
高淳区,隶属于,南京市,static
市万秀区,隶属于,新的梧州,static
市达川区,隶属于,达州,static
市潮安区,隶属于,潮州,static
柯桥区,隶属于,绍兴市,static
上虞区,隶属于,绍兴市,static
市梅县区,隶属于,梅州,static
市南康区,隶属于,赣州,static
兖州区,隶属于,济宁市,static
曹妃甸区,隶属于,唐山市,static
市姑苏区,隶属于,苏州,static
市吴江区,隶属于,苏州,static
名山区,隶属于,雅安市,static
市北区,隶属于,新的青岛市,static
黄岛区,隶属于,新的青岛市,static
花溪区,隶属于,新的贵阳市,static
清新区,隶属于,清远市,static
揭东区,隶属于,揭阳市,static
市姜堰区,隶属于,泰州,static
南溪区,隶属于,宜宾市,static
望城区,隶属于,长沙市,static
呈贡区,隶属于,昆明市,static
大足区,隶属于,重庆市,static
綦江区,隶属于,重庆市,static
市江都区,隶属于,扬州,static
东城区,隶属于,新的北京市,static
西城区,隶属于,新的北京市,static
市铜山区,隶属于,徐州,static
通州区,隶属于,南通市,static
滨海新区,隶属于,天津市,static
米东区,隶属于,乌鲁木齐市,static
江源区,隶属于,白山市,static
阿城区,隶属于,哈尔滨市,static
江津区,隶属于,重庆市,static
合川区,隶属于,重庆市,static
永川区,隶属于,重庆市,static
南川区,隶属于,重庆市,static
市南沙区,隶属于,广州,static
镜湖区,隶属于,新的芜湖市,static
宿豫区,隶属于,宿迁市,static
呼兰区,隶属于,哈尔滨市,static
曲江区,隶属于,韶关市,static
郾城区,隶属于,漯河市,static
西乡塘区,隶属于,南宁市,static
市长洲区,隶属于,梧州,static
金平区,隶属于,汕头市,static
濠江区,隶属于,汕头市,static
潮阳区,隶属于,汕头市,static
澄海区,隶属于,汕头市,static
陈仓区,隶属于,宝鸡市,static
市惠阳区,隶属于,惠州,static
治县,隶属于,北川羌族自,static
盐都区,隶属于,盐城市,static
船山区和安居区,隶属于,遂宁市,static
惠农区,隶属于,石嘴山市,static
丰南区,隶属于,唐山市,static
丰润区,隶属于,唐山市,static
鄞州区,隶属于,宁波市,static
市武进区,隶属于,常州,static
浦口区,隶属于,新的南京市,static
六合区,隶属于,南京市,static
丹徒区,隶属于,镇江市,static
温江区,隶属于,成都市,static
长安区,隶属于,西安市,static
耀州区,隶属于,铜川市,static
新会区,隶属于,江门市,static
秀英区,隶属于,海口市,static
西夏区,隶属于,银川市,static
禅城区,隶属于,佛山市,static
南海区,隶属于,佛山市,static
顺德区,隶属于,佛山市,static
三水区,隶属于,佛山市,static
高明区,隶属于,佛山市,static
殷都区,隶属于,安阳市,static
大兴区,隶属于,北京市,static
奉贤区,隶属于,上海市,static
南汇区,隶属于,上海市,static
裕华区,隶属于,石家庄市,static
市萧山区,隶属于,杭州,static
市余杭区,隶属于,杭州,static
宝坻区,隶属于,天津市,static
夷陵区,隶属于,宜昌市,static
珠晖区,隶属于,衡阳市,static
斗门区,隶属于,珠海市,static
长清区,隶属于,济南市,static
襄阳区,隶属于,襄樊市,static
新都区,隶属于,成都市,static
市衢江区,隶属于,衢州,static
长寿区,隶属于,重庆市,static
怀柔区,隶属于,北京市,static
平谷区,隶属于,北京市,static
市番禺区,隶属于,广州,static
市花都区,隶属于,广州,static
武清区,隶属于,天津市,static
黔江区,隶属于,重庆市,static
市邗江区,隶属于,扬州,static
江宁区,隶属于,南京市,static
楚州区,隶属于,淮安市,static
淮阴区,隶属于,淮安市,static
锡山区和惠山区,隶属于,无锡市,static
金东区,隶属于,金华市,static
市吴中区,隶属于,苏州,static
昌平区,隶属于,北京市,static
青浦区,隶属于,上海市,static
